Region,Product,UnitOfMeasure,UnitPrice,Category,Notes,SKU_ID,Price
us-central1,Standard Storage US Regional,gibibyte month,0.02,Storage,"Cloud Storage: 
0.00 USD (Free) per 1 gibibyte month, for 0 gibibyte month to 5 gibibyte month, per 1 month per account; 
0.02 USD per 1 gibibyte month, for 5 gibibyte month and above, per 1 month per account",skus/E5F0-6A5D-7BAD,"[{'startAmount': {'value': '0'}, 'listPrice': {'currencyCode': 'USD'}}, {'startAmount': {'value': '5'}, 'listPrice': {'currencyCode': 'USD', 'nanos': 20000000}}]"
us-central1,Network Data Transfer In from Google Services from Americas to Americas,gibibyte,0.0,Network,"GCP的Cost項目是列在Compute Engine下，手動指定Region
定義：Ingress to a different Google Cloud service within the same region for VM to Google service",skus/123C-0EFC-B7C8,0.0
sharedservice,Network Intra Zone Data Transfer Out,gibibyte,0.0,Network,GCP的Cost項目是列在Compute Engine下,skus/14F9-7705-2FD4,0.0
us-central1,Network Data Transfer to Google Services from Americas to Americas,gibibyte,0.0,Network,"GCP的Cost項目是列在Compute Engine下，手動指定Region
定義：Egress to a different Google Cloud service within the same region for VM to Google service",skus/92CB-C25F-B1D1,0.0
sharedservice,Network Intra Zone Data Transfer In,gibibyte,0.0,Network,GCP的Cost項目是列在Compute Engine下,skus/9C76-A3FB-C60A,0.0
sharedservice,Network Data Transfer GCP Inter Region within Asia,gibibyte,0.0,Network,,skus/F417-43BC-EF06,0.08
asia-southeast1,Network Data Transfer In from Google Services from Singapore to Singapore,gibibyte,0.0,Network,"GCP的Cost項目是列在Compute Engine下
定義：Ingress to a different Google Cloud service within the same region for VM to Google service",skus/C60B-9B3C-B624,0.0
us-west4,Network Data Transfer In from Google Services from Las Vegas to Las Vegas,gibibyte,0.0,Network,,skus/64EC-10AC-F8C8,0.0
us-west2,Network Data Transfer In from Google Services from Los Angeles to Los Angeles,gibibyte,0.0,Network,,skus/7CA4-6CDF-06FF,0.0
us-west3,Network Data Transfer In from Google Services from Salt Lake City to Salt Lake City,gibibyte,0.0,Network,,skus/DF6E-B726-097B,0.0
sharedservice,Network Data Transfer to Google Services from APAC to APAC,gibibyte,0.0,Network,,skus/DD24-5ECD-6E15,0.0
asia-southeast1,Network Data Transfer to Google Services from Singapore to Singapore,gibibyte,0.0,Network,"GCP的Cost項目是列在Compute Engine下
定義：Egress to a different Google Cloud service within the same region for VM to Google service",skus/EA96-9836-7E58,0.0
us-west4,Network Data Transfer to Google Services from Las Vegas to Las Vegas,gibibyte,0.0,Network,,skus/B356-41DE-4B66,0.0
us-west2,Network Data Transfer to Google Services from Los Angeles to Los Angeles,gibibyte,0.0,Network,,skus/4BA8-8D0A-F38D,0.0
us-west3,Network Data Transfer to Google Services from Salt Lake City to Salt Lake City,gibibyte,0.0,Network,,skus/7BCE-8CF5-0CC3,0.0
us-central1,Spot Preemptible N2 Instance Ram running in Americas,gibibyte hour,0.001136,CPU,0.001136 USD per 1 gibibyte hour,skus/6276-ABCE-E764,0.001136
us-central1,Spot Preemptible N2 Instance Core running in Americas,hour,0.00849,CPU,0.00849 USD per 1 hour,skus/2856-91B1-406A,0.00849
us-central1,N1 Predefined Instance Core running in Americas,hour,0.031611,CPU,GCP的Cost項目是列在Compute Engine下,skus/2E27-4F75-95CD,0.031611
